eachBSPos, totalGridNum, benchmarkPrice, priceGrides, cashGrides, share, initCash, stepPercent, lowLimitPrice, highLimitPrice, cashUsageRate, maxPortfolio, maxPortfolioPrint
3100, 10, 0.939, 0.89 0.9 0.911 0.922 0.933 0.944 0.955 0.966 0.977 0.988, 2759.0 5549.0 8373.1 11231.3 14123.6 17050.0 20010.5 23005.1 26033.8 29096.6, 159652.SZ, 35000, 0.0117, 0.88, 1, 0.9, 35170.40700000001, Share: 159652.SZ; FinalPortfolioValue: 35170.41; Net: 170.41; Percent: 0.49%; eachBSPos: 3100(stocks); stepPercent: 1.17%; benchmarkPrice: 0.94(RMB); totalGridNum: 10; Buy/Sell: 10/10; OpenInterest: 21700(stocks); currentPrice: 0.88(RMB)
3100, 10, 0.94, 0.89 0.901 0.912 0.923 0.934 0.945 0.956 0.967 0.978 0.99, 2759.0 5552.1 8379.3 11240.6 14136.0 17065.5 20029.1 23026.8 26058.6 29127.6, 159652.SZ, 35000, 0.0118, 0.88, 1, 0.9, 35170.40700000001, Share: 159652.SZ; FinalPortfolioValue: 35170.41; Net: 170.41; Percent: 0.49%; eachBSPos: 3100(stocks); stepPercent: 1.18%; benchmarkPrice: 0.94(RMB); totalGridNum: 10; Buy/Sell: 10/10; OpenInterest: 21700(stocks); currentPrice: 0.88(RMB)
3100, 10, 0.94, 0.89 0.901 0.912 0.923 0.934 0.945 0.956 0.967 0.979 0.991, 2759.0 5552.1 8379.3 11240.6 14136.0 17065.5 20029.1 23026.8 26061.7 29133.8, 159652.SZ, 35000, 0.0119, 0.88, 1, 0.9, 35271.87000000001, Share: 159652.SZ; FinalPortfolioValue: 35271.87; Net: 271.87; Percent: 0.78%; eachBSPos: 3100(stocks); stepPercent: 1.19%; benchmarkPrice: 0.94(RMB); totalGridNum: 10; Buy/Sell: 10/10; OpenInterest: 18600(stocks); currentPrice: 0.88(RMB)
3100, 10, 0.942, 0.891 0.902 0.913 0.924 0.935 0.946 0.957 0.969 0.981 0.993, 2762.1 5558.3 8388.6 11253.0 14151.5 17084.1 20050.8 23054.7 26095.8 29174.1, 159652.SZ, 35000, 0.0121, 0.88, 1, 0.9, 35271.87000000001, Share: 159652.SZ; FinalPortfolioValue: 35271.87; Net: 271.87; Percent: 0.78%; eachBSPos: 3100(stocks); stepPercent: 1.21%; benchmarkPrice: 0.94(RMB); totalGridNum: 10; Buy/Sell: 10/10; OpenInterest: 18600(stocks); currentPrice: 0.88(RMB)
3100, 10, 0.942, 0.891 0.902 0.913 0.924 0.935 0.946 0.957 0.968 0.98 0.992, 2762.1 5558.3 8388.6 11253.0 14151.5 17084.1 20050.8 23051.6 26089.6 29164.8, 159652.SZ, 35000, 0.012, 0.88, 1, 0.9, 35271.87000000001, Share: 159652.SZ; FinalPortfolioValue: 35271.87; Net: 271.87; Percent: 0.78%; eachBSPos: 3100(stocks); stepPercent: 1.20%; benchmarkPrice: 0.94(RMB); totalGridNum: 10; Buy/Sell: 10/10; OpenInterest: 18600(stocks); currentPrice: 0.88(RMB)
3100, 10, 0.942, 0.891 0.902 0.913 0.924 0.935 0.946 0.958 0.97 0.982 0.994, 2762.1 5558.3 8388.6 11253.0 14151.5 17084.1 20053.9 23060.9 26105.1 29186.5, 159652.SZ, 35000, 0.0122, 0.88, 1, 0.9, 35271.87000000001, Share: 159652.SZ; FinalPortfolioValue: 35271.87; Net: 271.87; Percent: 0.78%; eachBSPos: 3100(stocks); stepPercent: 1.22%; benchmarkPrice: 0.94(RMB); totalGridNum: 10; Buy/Sell: 10/10; OpenInterest: 18600(stocks); currentPrice: 0.88(RMB)
3100, 10, 0.943, 0.891 0.902 0.913 0.924 0.935 0.947 0.959 0.971 0.983 0.995, 2762.1 5558.3 8388.6 11253.0 14151.5 17087.2 20060.1 23070.2 26117.5 29202.0, 159652.SZ, 35000, 0.0123, 0.88, 1, 0.9, 35271.87000000001, Share: 159652.SZ; FinalPortfolioValue: 35271.87; Net: 271.87; Percent: 0.78%; eachBSPos: 3100(stocks); stepPercent: 1.23%; benchmarkPrice: 0.94(RMB); totalGridNum: 10; Buy/Sell: 10/10; OpenInterest: 18600(stocks); currentPrice: 0.88(RMB)
3100, 10, 0.943, 0.891 0.902 0.913 0.924 0.935 0.947 0.959 0.971 0.983 0.995, 2762.1 5558.3 8388.6 11253.0 14151.5 17087.2 20060.1 23070.2 26117.5 29202.0, 159652.SZ, 35000, 0.0124, 0.88, 1, 0.9, 35271.87000000001, Share: 159652.SZ; FinalPortfolioValue: 35271.87; Net: 271.87; Percent: 0.78%; eachBSPos: 3100(stocks); stepPercent: 1.24%; benchmarkPrice: 0.94(RMB); totalGridNum: 10; Buy/Sell: 10/10; OpenInterest: 18600(stocks); currentPrice: 0.88(RMB)
3100, 10, 0.944, 0.891 0.902 0.913 0.924 0.936 0.948 0.96 0.972 0.984 0.996, 2762.1 5558.3 8388.6 11253.0 14154.6 17093.4 20069.4 23082.6 26133.0 29220.6, 159652.SZ, 35000, 0.0125, 0.88, 1, 0.9, 35271.87000000001, Share: 159652.SZ; FinalPortfolioValue: 35271.87; Net: 271.87; Percent: 0.78%; eachBSPos: 3100(stocks); stepPercent: 1.25%; benchmarkPrice: 0.94(RMB); totalGridNum: 10; Buy/Sell: 10/10; OpenInterest: 18600(stocks); currentPrice: 0.88(RMB)
3100, 10, 0.944, 0.891 0.902 0.913 0.925 0.937 0.949 0.961 0.973 0.985 0.997, 2762.1 5558.3 8388.6 11256.1 14160.8 17102.7 20081.8 23098.1 26151.6 29242.3, 159652.SZ, 35000, 0.0126, 0.88, 1, 0.9, 35271.87000000001, Share: 159652.SZ; FinalPortfolioValue: 35271.87; Net: 271.87; Percent: 0.78%; eachBSPos: 3100(stocks); stepPercent: 1.26%; benchmarkPrice: 0.94(RMB); totalGridNum: 10; Buy/Sell: 10/10; OpenInterest: 18600(stocks); currentPrice: 0.88(RMB)
3100, 10, 0.944, 0.891 0.902 0.913 0.925 0.937 0.949 0.961 0.973 0.985 0.998, 2762.1 5558.3 8388.6 11256.1 14160.8 17102.7 20081.8 23098.1 26151.6 29245.4, 159652.SZ, 35000, 0.0127, 0.88, 1, 0.9, 35271.87000000001, Share: 159652.SZ; FinalPortfolioValue: 35271.87; Net: 271.87; Percent: 0.78%; eachBSPos: 3100(stocks); stepPercent: 1.27%; benchmarkPrice: 0.94(RMB); totalGridNum: 10; Buy/Sell: 10/10; OpenInterest: 18600(stocks); currentPrice: 0.88(RMB)
